"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.14,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.98,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.75,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.5,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",979.97,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.65,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.57,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",1.22,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",977.62,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.75,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-4.05,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",956.12,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-3.39,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.53,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.77,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.6,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.53,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.89,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.17,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.47,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.83,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.63,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.12,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.4,"bereinigt"
"2024-01-13T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-3.75,"bereinigt"
"2024-01-13T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",951.69,"bereinigt"
"2024-01-13T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-2.35,"bereinigt"
"2024-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.56,"bereinigt"
"2024-01-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",41.7,"bereinigt"
"2024-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.06,"bereinigt"
"2024-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",69.57,"bereinigt"
"2024-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.2,"bereinigt"
"2024-01-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.68,"bereinigt"
"2024-01-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",95.95,"bereinigt"
"2024-01-14T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",964.73,"bereinigt"
"2024-01-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.9,"bereinigt"
"2024-01-14T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.62,"bereinigt"
"2024-01-14T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",37.65,"bereinigt"
"2024-01-14T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",962.4,"bereinigt"
"2024-01-14T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.06,"bereinigt"
"2024-01-14T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-2.24,"bereinigt"
"2024-01-14T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",941.3,"bereinigt"
"2024-01-14T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",0.55,"bereinigt"
"2024-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.53,"bereinigt"
"2024-01-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.17,"bereinigt"
"2024-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",15.96,"bereinigt"
"2024-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.93,"bereinigt"
"2024-01-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.53,"bereinigt"
"2024-01-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",106.4,"bereinigt"
"2024-01-15T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",959.76,"bereinigt"
"2024-01-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.37,"bereinigt"
"2024-01-15T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.54,"bereinigt"
"2024-01-15T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.22,"bereinigt"
"2024-01-15T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.42,"bereinigt"
